order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
027b013d2186e25c2b82beb3679d0833,752b19f57cd013e2bf4e3c62da5a29e5,shipped,2018-04-11 15:49:16,2018-04-11 16:10:51.000000000,2018-04-13 20:05:02,Sin Entregar,2018-05-02
02ea547b6d2ee25305588fd50df58b46,ff4545a3148f5a22667f301e00cb5ad7,shipped,2017-03-23 22:03:43,2017-03-23 22:10:24.000000000,2017-03-28 11:43:01,Sin Entregar,2017-04-18
62076e9aa47cedb799ddc84812264c9e,37e066fcd483b5b73efc8eb2166c91e2,shipped,2018-06-09 19:28:03,2018-06-09 19:50:51.000000000,2018-06-11 13:50:00,Sin Entregar,2018-07-04
c3a6dc9afef5794ea4a867b5a18e0ad1,0c305f688ce08dc9402a2164fd6f29d6,invoiced,2017-11-25 14:10:20,2017-11-25 17:32:57.000000000,Sin Cargar,Sin Entregar,2017-12-19
98fe01bc254b759c1f2c11d77c2891d5,30f3b26a06e5a67682305298f83e6be3,unavailable,2017-10-17 18:34:56,2017-10-18 18:37:08.000000000,Sin Cargar,Sin Entregar,2017-11-24
2eb5ba20812f78127f6243fa27fb40e5,d5420a7dc4c5c1f95b7912368419f59f,canceled,2017-05-29 18:10:06,2017-05-31 07:02:46.000000000,Sin Cargar,Sin Entregar,2017-06-20
f56dc9034c3962e36d49fb73baa12800,5c4795c07c0bd317adaf7406327bbfa9,unavailable,2017-08-10 22:20:51,2017-08-12 02:09:15.000000000,Sin Cargar,Sin Entregar,2017-09-14
914e3f7135c8d9046278a046552ebb6e,078bfceb258f6ee262174cbf251aa763,shipped,2017-04-11 12:22:13,2017-04-13 02:42:05.000000000,2017-04-13 15:56:24,Sin Entregar,2017-05-16
880835c91a5227560bdb8d0f45c60579,410a24845e470f3c52bb78f084d359b5,processing,2017-03-08 09:10:55,2017-03-09 03:33:21.000000000,Sin Cargar,Sin Entregar,2017-04-04
566c5bff1142c9d6003a83fd2e8ad1e5,892022d497c9598ce4a313f64ceaa87e,invoiced,2017-11-23 18:03:23,2017-11-23 18:25:18.000000000,Sin Cargar,Sin Entregar,2017-12-18
369423839b4d9789d69665b7c2361443,fd09581178029df57e2c1f177fc8ef29,processing,2017-11-10 08:56:32,2017-11-11 03:10:33.000000000,Sin Cargar,Sin Entregar,2017-12-05
0130f0f71fb0e831d18e6a3b33a3a50c,e56f6dff7b8ac9813ddeb2312f0d834f,unavailable,2017-05-12 10:17:23,2017-05-13 03:10:13.000000000,Sin Cargar,Sin Entregar,2017-05-22
2d1e2d5bf4dc7227b3bfebb81328c15f,ec05a6d8558c6455f0cbbd8a420ad34f,delivered,2017-11-28 17:44:07,2017-11-28 17:56:40.000000000,2017-11-30 18:12:23,Sin Entregar,2017-12-18
83a9c18344682fcbc57696019ff1ff2a,96ca69bfa1a8b97847ced6f03bed4e79,shipped,2017-08-11 17:40:19,2017-08-11 17:55:23.000000000,2017-08-14 18:22:53,Sin Entregar,2017-09-13
ddaec6fff982b13e7e048b627a11d6da,68f4ad79cc0c2ad06e19088f5c00e9fa,canceled,2016-10-04 19:41:32,2016-10-05 06:06:40.739486910,Sin Cargar,Sin Entregar,2016-11-16
84b8ba39037606b7b30a39d02e9e4154,7c2bf05f6902368e5d21040b68c2bbdb,unavailable,2018-06-27 19:51:02,2018-06-27 20:11:41.000000000,Sin Cargar,Sin Entregar,2018-07-12
5290c34bd38a8a095b885f13958db1e1,92af427e290117f39d9ff908566072e0,canceled,2018-08-21 10:25:18,2018-08-21 20:50:26.739486910,Sin Cargar,Sin Entregar,2018-09-06
b4c9f083bce61caf47fb38f9ba058bce,6ce60503e530d8a67926e9b8e3fdb635,invoiced,2017-08-05 16:00:56,2017-08-05 16:15:16.000000000,Sin Cargar,Sin Entregar,2017-08-30
db4d39113d1f1f359709384518d81e31,91aed284ce3e18b2be4cb2dafc798b51,processing,2017-09-19 11:08:41,2017-09-19 11:34:08.000000000,Sin Cargar,Sin Entregar,2017-10-10
727ff4968b521aca37f5ac012eb0c9ad,314222754b66db2d977b14ecc4ee2756,shipped,2017-11-24 12:03:10,2017-11-24 13:53:53.000000000,2017-11-29 21:21:22,Sin Entregar,2017-12-08
